host,ip,port
221.209.122.12:888,221.209.122.12,888
38.55.132.169:5678,38.55.132.169,5678
106.59.234.146:49153,106.59.234.146,49153
https://tvlive.995116.xyz,104.21.54.241,443
101.35.153.248,101.35.153.248,80
chinau.dpdns.org,172.67.177.84,80
https://chinau.dpdns.org,104.21.64.68,443
221.209.122.8:34567,221.209.122.8,34567
39.97.239.165,39.97.239.165,80
125.118.72.222:10001,125.118.72.222,10001
138.2.47.212:2095,138.2.47.212,2095
101.68.112.13:10001,101.68.112.13,10001
101.68.112.13:10000,101.68.112.13,10000
8.153.108.11:8080,8.153.108.11,8080
49.235.169.186:8080,49.235.169.186,8080
111.230.94.176:8080,111.230.94.176,8080
125.118.72.222:10000,125.118.72.222,10000
119.100.147.92:8010,119.100.147.92,8010
163.47.134.10:8085,163.47.134.10,8085
203.88.125.251:3000,203.88.125.251,3000
117.83.173.70:8085,117.83.173.70,8085
58.33.172.51:8010,58.33.172.51,8010
221.232.100.91:8125,221.232.100.91,8125
112.80.176.23:18000,112.80.176.23,18000
27.191.90.203:8000,27.191.90.203,8000
123.185.228.21:9002,123.185.228.21,9002
175.178.241.40:8081,175.178.241.40,8081
61.146.163.61:8001,61.146.163.61,8001
58.38.4.173:8090,58.38.4.173,8090
158.101.205.233:8000,158.101.205.233,8000
112.247.179.44:8000,112.247.179.44,8000
111.230.72.38:8000,111.230.72.38,8000
117.186.118.222:8000,117.186.118.222,8000
64.181.233.163:8001,64.181.233.163,8001
163.172.42.226:8000,163.172.42.226,8000
58.33.166.108:8088,58.33.166.108,8088
60.209.129.103:8000,60.209.129.103,8000
58.217.81.27:8000,58.217.81.27,8000
124.223.100.156:5678,124.223.100.156,5678
175.170.179.245:32769,175.170.179.245,32769
43.165.189.178:8000,43.165.189.178,8000
139.129.23.201:8090,139.129.23.201,8090
119.29.233.26:8000,119.29.233.26,8000
104.243.29.23:8000,104.243.29.23,8000
218.71.241.190:8000,218.71.241.190,8000
180.158.171.243:8000,180.158.171.243,8000
124.221.25.254:8000,124.221.25.254,8000
59.39.225.4:8000,59.39.225.4,8000
38.174.217.87:8083,38.174.217.87,8083
43.226.36.47:8086,43.226.36.47,8086
123.153.252.116:8081,123.153.252.116,8081
113.121.35.39:8000,113.121.35.39,8000
182.149.112.35:8000,182.149.112.35,8000
64.110.115.17:8080,64.110.115.17,8080
112.92.89.164:8000,112.92.89.164,8000
114.246.219.216:8001,114.246.219.216,8001
212.83.185.83:8000,212.83.185.83,8000
112.92.88.121:8000,112.92.88.121,8000
171.213.234.53:7001,171.213.234.53,7001
125.38.225.37:5678,125.38.225.37,5678
101.32.245.251:9001,101.32.245.251,9001
119.50.184.23:8888,119.50.184.23,8888
139.196.77.52:8887,139.196.77.52,8887
39.103.61.252:8126,39.103.61.252,8126
103.143.81.77:9001,103.143.81.77,9001
23.94.184.72:82,23.94.184.72,82
119.163.213.250:8881,119.163.213.250,8881
146.56.150.33:9090,146.56.150.33,9090
121.57.227.174:9000,121.57.227.174,9000
114.66.18.74:5678,114.66.18.74,5678
112.109.205.254:88,112.109.205.254,88
