host,ip,port
221.209.122.12:888,221.209.122.12,888
38.55.132.169:5678,38.55.132.169,5678
106.59.234.146:49153,106.59.234.146,49153
https://tvlive.995116.xyz,104.21.54.241,443
101.35.153.248,101.35.153.248,80
chinau.dpdns.org,172.67.177.84,80
https://chinau.dpdns.org,104.21.64.68,443
221.209.122.8:34567,221.209.122.8,34567
39.97.239.165,39.97.239.165,80
125.118.72.222:10001,125.118.72.222,10001
138.2.47.212:2095,138.2.47.212,2095
101.68.112.13:10001,101.68.112.13,10001
101.68.112.13:10000,101.68.112.13,10000
8.153.108.11:8080,8.153.108.11,8080
49.235.169.186:8080,49.235.169.186,8080
111.230.94.176:8080,111.230.94.176,8080
125.118.72.222:10000,125.118.72.222,10000
119.100.147.92:8010,119.100.147.92,8010
163.47.134.10:8085,163.47.134.10,8085
203.88.125.251:3000,203.88.125.251,3000
117.83.173.70:8085,117.83.173.70,8085
58.33.172.51:8010,58.33.172.51,8010
221.232.100.91:8125,221.232.100.91,8125
112.80.176.23:18000,112.80.176.23,18000
27.191.90.203:8000,27.191.90.203,8000
123.185.228.21:9002,123.185.228.21,9002
175.178.241.40:8081,175.178.241.40,8081
61.146.163.61:8001,61.146.163.61,8001
58.38.4.173:8090,58.38.4.173,8090
158.101.205.233:8000,158.101.205.233,8000
112.247.179.44:8000,112.247.179.44,8000
111.230.72.38:8000,111.230.72.38,8000
117.186.118.222:8000,117.186.118.222,8000
64.181.233.163:8001,64.181.233.163,8001
163.172.42.226:8000,163.172.42.226,8000
58.33.166.108:8088,58.33.166.108,8088
60.209.129.103:8000,60.209.129.103,8000
58.217.81.27:8000,58.217.81.27,8000
124.223.100.156:5678,124.223.100.156,5678
175.170.179.245:32769,175.170.179.245,32769
43.165.189.178:8000,43.165.189.178,8000
139.129.23.201:8090,139.129.23.201,8090
119.29.233.26:8000,119.29.233.26,8000
104.243.29.23:8000,104.243.29.23,8000
218.71.241.190:8000,218.71.241.190,8000
180.158.171.243:8000,180.158.171.243,8000
124.221.25.254:8000,124.221.25.254,8000
59.39.225.4:8000,59.39.225.4,8000
38.174.217.87:8083,38.174.217.87,8083
43.226.36.47:8086,43.226.36.47,8086
123.153.252.116:8081,123.153.252.116,8081
113.121.35.39:8000,113.121.35.39,8000
182.149.112.35:8000,182.149.112.35,8000
64.110.115.17:8080,64.110.115.17,8080
112.92.89.164:8000,112.92.89.164,8000
114.246.219.216:8001,114.246.219.216,8001
212.83.185.83:8000,212.83.185.83,8000
112.92.88.121:8000,112.92.88.121,8000
171.213.234.53:7001,171.213.234.53,7001
125.38.225.37:5678,125.38.225.37,5678
101.32.245.251:9001,101.32.245.251,9001
119.50.184.23:8888,119.50.184.23,8888
139.196.77.52:8887,139.196.77.52,8887
39.103.61.252:8126,39.103.61.252,8126
103.143.81.77:9001,103.143.81.77,9001
23.94.184.72:82,23.94.184.72,82
119.163.213.250:8881,119.163.213.250,8881
146.56.150.33:9090,146.56.150.33,9090
121.57.227.174:9000,121.57.227.174,9000
114.66.18.74:5678,114.66.18.74,5678
112.109.205.254:88,112.109.205.254,88
58.208.172.6:8085,58.208.172.6,8085
60.176.13.37:10001,60.176.13.37,10001
106.54.209.154:5678,106.54.209.154,5678
114.216.31.116:8001,114.216.31.116,8001
116.4.40.64:8000,116.4.40.64,8000
123.207.218.115:5678,123.207.218.115,5678
60.176.13.37:10000,60.176.13.37,10000
221.209.122.36:888,221.209.122.36,888
123.157.61.56:8081,123.157.61.56,8081
1.203.111.239:34567,1.203.111.239,34567
112.14.50.200:5678,112.14.50.200,5678
183.158.46.39:8686,183.158.46.39,8686
171.213.211.197:7001,171.213.211.197,7001
itv.somemean.com,155.248.170.255,80
217.142.251.127:6001,217.142.251.127,6001
live.445569.xyz,172.67.216.113,80
https://live.445569.xyz,172.67.216.113,443
59.59.49.186:34567,59.59.49.186,34567
https://live.soso365.com,101.201.232.45,443
live.soso365.com,101.201.232.45,80
114.227.128.201:8886,114.227.128.201,8886
101.34.85.250:1200,101.34.85.250,1200
8.137.121.66:3306,8.137.121.66,3306
183.128.247.133:10000,183.128.247.133,10000
callnezha.horsenma.net:8001,64.181.233.163,8001
183.128.247.133:10001,183.128.247.133,10001
tmcs.dsmark.cn:5678,123.207.218.115,5678
218.71.243.118:8000,218.71.243.118,8000
180.113.138.167:5678,180.113.138.167,5678
219.140.5.55:9000,219.140.5.55,9000
221.217.54.86:5050,221.217.54.86,5050
116.148.178.224:8081,116.148.178.224,8081
112.92.89.211:8000,112.92.89.211,8000
101.67.248.198:8008,101.67.248.198,8008
kanwa.myds.me:10027,218.61.196.156,10027
119.4.80.78:5678,119.4.80.78,5678
183.53.108.107:8000,183.53.108.107,8000
101.35.153.248:8000,101.35.153.248,8000
114.132.184.200:8000,114.132.184.200,8000
27.191.90.250:8000,27.191.90.250,8000
112.5.41.115:5678,112.5.41.115,5678
47.122.122.100:8088,47.122.122.100,8088
117.90.91.24:8000,117.90.91.24,8000
125.108.94.149:34567,125.108.94.149,34567
121.57.230.165:9000,121.57.230.165,9000
123.179.179.114:8125,123.179.179.114,8125
139.208.21.156:8888,139.208.21.156,8888
119.100.144.133:8010,119.100.144.133,8010
140.240.85.79:34567,140.240.85.79,34567
122.233.25.242:10000,122.233.25.242,10000
125.123.140.220:88,125.123.140.220,88
58.23.221.20:88,58.23.221.20,88
158.101.1.61:8144,158.101.1.61,8144
45.207.192.132:9001,45.207.192.132,9001
https://27.185.23.7:8888,27.185.23.7,8888
31.58.50.44:5678,31.58.50.44,5678
https://tv.cr315.com,172.67.211.212,443
https://tv.xiaolancao.cn,8.219.194.253,443
tv.xiaolancao.cn,8.219.194.253,80
https://tv.lcc.cloudns.ch,8.219.194.253,443
tv.lcc.cloudns.ch,8.219.194.253,80
59.56.242.190:5678,59.56.242.190,5678
140.240.86.216:34567,140.240.86.216,34567
106.13.42.52:5678,106.13.42.52,5678
114.66.31.39:5678,114.66.31.39,5678
https://171.113.214.137:5678,171.113.214.137,5678
171.213.175.111:8009,171.213.175.111,8009
183.159.20.135:10000,183.159.20.135,10000
111.166.29.236:18080,111.166.29.236,18080
125.108.94.190:34567,125.108.94.190,34567
tvlive.995116.xyz,172.67.169.133,80
182.149.112.241:8000,182.149.112.241,8000
101.67.248.212:8008,101.67.248.212,8008
101.64.138.161:8000,101.64.138.161,8000
47.115.206.102:8000,47.115.206.102,8000
https://tvlive.louiskkk.dpdns.org,172.67.221.61,443
123.153.236.171:8081,123.153.236.171,8081
cj.wwwwww.fun:10001,101.68.112.13,10001
ad.wwwwww.fun:10001,101.68.112.13,10001
dx850fn.wwwwww.fun:10001,183.159.20.135,10001
lt250fn.wwwwww.fun:10001,101.68.112.13,10001
